tau,0.498,0.874,0.992,1.0,n0s0
0.001875,-15.285347999428677,-17.998542976917406,-19.694579631574875,-19.841958209266824,
0.0019166666666666666,-15.276779726161255,-17.960505101183283,-19.627034543342845,-19.771310674789603,
0.001958333333333333,-15.268104919927623,-17.92229268045495,-19.559562650146454,-19.700802086602824,
0.002,-15.259326598643527,-17.88390253432353,-19.492227289293613,-19.630465082802736,
0.0020416666666666665,-15.250452722404182,-17.84536677185457,-19.42504185576897,-19.560341855321045,
0.0020833333333333333,-15.241486794245816,-17.806708372891727,-19.358050172751906,-19.490455753511423,
0.0021249999999999997,-15.232431329668861,-17.76795004201204,-19.29128939908059,-19.420856607086744,
0.0021666666666666666,-15.2232918575014,-17.729111900290615,-19.224782745294227,-19.351566362441684,
0.0022083333333333334,-15.214079452531202,-17.69021568362305,-19.158566956945513,-19.282619511876142,
0.00225,-15.204779166736927,-17.651281081792316,-19.092669467963916,-19.214041801609106,
0.0022916666666666667,-15.195408792673174,-17.61232807395851,-19.027114204892612,-19.145860652238966,
0.002333333333333333,-15.185966894230326,-17.573373816332186,-18.96192648003002,-19.07809763324249,
0.002375,-15.176472912930842,-17.534437459130295,-18.897129436280025,-19.01077754489816,
0.002416666666666667,-15.166910262231212,-17.495536306870623,-18.832743266648496,-18.943921447702994,
0.002458333333333333,-15.157290243964203,-17.45668717875909,-18.768790103531224,-18.87755054508427,
0.0025,-15.147616119987934,-17.417904706581457,-18.70528820465974,-18.811680165139812,
0.0025416666666666665,-15.137893759965435,-17.379204673473165,-18.642251440310584,-18.746319192275063,
0.0025833333333333333,-15.128121568567114,-17.340604372265236,-18.5796986223528,-18.68149801394293,
0.0026249999999999997,-15.11830812656129,-17.302114574315524,-18.51764205700635,-18.617235787768,
0.0026666666666666666,-15.108444650773263,-17.263750401272738,-18.456100345960746,-18.553508123672042,
0.0027083333333333334,-15.098564402762538,-17.22552400610578,-18.395079372637422,-18.490353799858834,
0.00275,-15.088643145429812,-17.187447788625565,-18.33459301688083,-18.427793163001084,
0.0027916666666666667,-15.07869086947277,-17.14953343236473,-18.27465316829952,-18.365822117201116,
0.002833333333333333,-15.06871295830392,-17.111798684514095,-18.2152644724187,-18.30444300845143,
0.002875,-15.05871145657283,-17.074234889079573,-18.15643957971161,-18.24367316847507,
0.0029166666666666664,-15.048685441599716,-17.036869770061802,-18.098190257612956,-18.183516239490853,
0.002958333333333333,-15.038646950958515,-16.99971108584673,-18.040507207243355,-18.123980033988133,
0.003,-15.028597578477799,-16.96276087939429,-17.983408332549484,-18.065067855244358,
0.0030416666666666665,-15.018531852105344,-16.926036702370272,-17.92689842734825,-18.006778806858396,
